bedrooms,bathrooms,useable_lot,price,homemarkup,liveable_space
4,2.25,3370,1189545.5,4.668390805,3750
2,1.75,5660,404536.275,4.668390805,1390
5,2,6403.333333,408622.5,4.213218391,1870
2,2.75,550,325989.95,3.298850575,1370
5,3,2380,1539144.75,4.590224138,3320
4,2.5,7113,414524.825,2.65,2580
3,1,6150,166173.15,2.051724138,1170
4,2.5,6249,326898,2.325862069,2020
3,2,27742,304196.75,2.120114943,1410
5,2,5026.666667,399542,3.297126437,1430
3,1.75,2700,776382.75,4.590224138,1900
4,1.75,4470,658336.25,4.320689655,1980
5,3,7396.5,435272.8595,2.418390805,3223
4,3.5,1599,680992.0975,4.224712644,2630
5,3,6241,1861502.5,4.476436782,3830
2,2,5470,227012.5,2.174712644,1130
2,1.75,3129,381335.5975,5.029310345,1350
2,1.75,2202,411800.675,4.663793103,1000
3,1,10835,154368.5,2.116666667,970
2,2.5,822,295116.25,3.298850575,1170
3,2.25,3520,376840.75,2.936781609,1640
4,1.75,6882,219884.3075,2.325862069,1490
3,2.5,8163,261518.4,2.418390805,1370
3,2.25,6900,242449.35,2.120114943,2510
4,3.5,19862,449484.75,3.406321839,2490
3,1,6879,149828.25,2.344827586,1380
5,3.5,13919,703738.75,5.99137931,3730
2,1,6695,185923.2375,2.116666667,880
2,1,8650,163449,2.486781609,800
4,1.75,6580,299656.5,2.344827586,1720
5,2.75,5012,681945.55,4.66954023,2860
3,2.5,7542,503958.6695,3.800574713,2100
4,1.75,8418.333333,422243.25,3.786206897,1640
3,1.75,3773.333333,817245,4.476436782,1540
2,1,3493.333333,345059,3.19137931,760
5,2.5,4089,337794.6,2.118390805,2840
3,1.5,6051,222472.25,2.116666667,1340
4,2.25,18680,1471041,15.99712644,2350
3,2,3090,585692.25,4.590224138,1640
3,2.75,12723,385921.25,2.348275862,3370
3,2.5,3157,454025,3.732758621,2300
2,1,4270,244719.475,3.19137931,930
3,2.25,12120,435864,3.800574713,1820
3,3.25,3307,657882.225,5.99137931,3240
4,2.5,7064,452208.9,2.120114943,3402
3,2.5,3982,331438.25,2.486781609,2200
3,2.5,842,662422.475,4.320689655,1660
3,2.5,3342,315093.35,3.12816092,1680
3,1.75,2143.333333,749141.25,4.590224138,2010
2,2.5,60579,547100.125,2.486781609,3090
3,1,3990,349599.25,4.063218391,810
4,1.75,14550,254254,2.120114943,2250
